Adverse.events,Death.1,Death.2,Death.3,Death.4,GP.1,GP.2,GP.3,GP.4,Hospital.1,Hospital.2,Hospital.3,Hospital.4,Infected.1,Infected.2,Infected.3,Infected.4,Mild.Compl.1,Mild.Compl.2,Mild.Compl.3,Mild.Compl.4,Pneumonia.1,Pneumonia.2,Pneumonia.3,Pneumonia.4,Repeat.GP.1,Repeat.GP.2,Repeat.GP.3,Repeat.GP.4,Trt.1,Trt.2,Trt.3,Trt.4,Trt.5,Trt.6,Trt.7,Trt.8,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,delta,deviance,eta,gamma.1,gamma.2,lambda,n.1,n.2,n.3,n.4,omega.1,omega.2,omega.3,omega.4,omega.5,omega.6,omega.7,phi,pi.1,pi.2,pi.3,pi.4,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,rho.1,rho.2,xi
6460,1,0,0,0,1834,696,0,367,3,0,0,0,9485,3550,0,1977,720,269,0,139,26,9,0,6,694,260,0,133,759,591,288,203,0,0,148,109,0.095615125,0.191398962,0.385936125,0.012943721,0.000551514,0.000707806,0.103651518,9,0.199413027,0.900971436,0.42058518,0.807961979,3.880594899,1.00E+05,0,38245,61755,2.794704877,0,0,5.172248645,6.988520397,11.94214084,0.576288001,0.618185127,0.095615125,0.095615125,0.032351743,0.032351743,20.77996544,2333.25083,6.953440244,11.92105988,38.89592951,3.398768112,1.05592133,0.842547129,0,0.661646173,0.949937795
5921,1,1,0,0,2186,1022,0,167,0,0,0,0,10334,4620,0,827,903,432,0,78,23,13,0,4,880,419,0,74,921,725,436,357,0,0,65,68,0.10129758,0.210148092,0.399667987,0.011340583,0.00021605,0.00127094,0.105693547,7,0.197476717,0.90161998,0.42197123,0.810696563,4.226621439,1.00E+05,0,45356,54644,4.017251578,0,0,6.071078298,4.139101345,13.07091309,0.605485037,0.544401421,0.10129758,0.10129758,0.01470868,0.01470868,19.96250628,3200.033995,8.588988881,9.713393368,49.73831582,3.074948414,1.205336565,0.861215344,0,0.854797326,0.955338413
5496,3,0,0,0,1599,901,0,232,0,0,0,0,6543,3805,0,894,661,384,0,96,20,16,0,5,641,368,0,91,673,537,386,313,0,0,95,74,0.065687279,0.246543945,0.3958138,0.012738535,0.000443667,0.000568272,0.130060926,7,0.06851278,0.90042782,0.422169405,0.806664761,3.410991505,1.00E+05,0,57930,42070,5.590237528,0,0,5.678301385,5.037612398,15.98727022,0.423439449,0.420501547,0.065687279,0.065687279,0.021170777,0.021170777,22.23321626,1340.832083,7.788831317,8.938809787,74.59119801,3.450945864,1.529259514,0.780905428,0,0.677703548,0.948198441
5067,1,0,0,0,2137,1013,0,403,1,1,0,0,6554,3184,0,1162,868,407,0,151,31,12,0,3,837,395,0,148,916,697,391,342,0,0,169,120,0.065441483,0.329720276,0.391362473,0.014390257,0.000312493,0.000568994,0.100958519,9,-1.31437587,0.901840684,0.418391095,0.814352601,1.942315312,1.00E+05,0,48175,51825,3.16106548,0,0,5.170426748,10.10937804,16.52465482,0.522463814,0.515444398,0.065441483,0.065441483,0.022255397,0.022255397,32.29233069,1507.473393,5.114465155,6.171059497,52.52406555,3.492535312,1.47507969,0.846713647,0,0.659919128,0.95308669
5328,1,0,0,0,1998,1058,0,276,1,1,0,0,7058,3759,0,994,858,454,0,109,31,8,0,4,827,446,0,105,836,697,429,377,0,0,110,83,0.071424529,0.284257621,0.412764802,0.012841094,0.000303338,0.000549171,0.112547513,3,-0.27625328,0.895082969,0.417714761,0.817764684,5.608701263,1.00E+05,0,53311,46689,2.154031461,0,0,9.251865967,6.206121107,13.32059443,0.542246468,0.464808701,0.071424529,0.071424529,0.020487992,0.020487992,16.46074752,1936.782069,7.445031,7.839495339,44.08492841,3.613172578,1.484059713,0.801577883,0,0.713151879,0.952996904
1975,0,0,0,0,693,503,0,40,0,1,0,0,5346,4062,0,366,290,220,0,18,9,10,0,1,281,210,0,17,297,237,224,181,0,0,16,13,0.053023804,0.121399015,0.410700764,0.01030895,0.000407312,0.000599442,0.082061468,3,-0.162823748,0.898413302,0.420391397,0.818013598,3.306808442,1.00E+05,0,76600,23400,3.268471909,0,0,7.111724641,6.331595794,13.23710326,0.984366601,0.234734663,0.053023804,0.053023804,0.016319565,0.016319565,27.64950944,2651.959768,6.28070003,13.17815691,38.94571119,2.481280052,1.186291471,0.648278405,0,0.692221917,0.939812883
9162,3,1,0,0,3083,1857,0,417,0,0,0,0,8451,4940,0,1088,1264,779,0,176,44,22,0,6,1220,757,0,170,1308,1029,770,634,0,0,181,149,0.083951386,0.371688448,0.400199336,0.012829748,0.00027284,0.000780438,0.228825737,4,0.874553323,0.908596964,0.421130703,0.818069329,4.175362892,1.00E+05,0,59468,40532,2.306208706,0,0,8.174722735,5.280569856,10.66723064,0.658117954,0.406872146,0.083951386,0.083951386,0.025553618,0.025553618,23.72276141,4621.837275,5.415741777,12.38524099,33.83825467,3.441611702,3.262838967,1.039804285,0,0.695614106,0.958848202
1596,0,2,0,0,1746,1133,0,138,0,0,0,0,5616,3759,0,455,706,493,0,72,35,25,0,3,671,468,0,69,709,584,501,415,0,0,54,56,0.05480744,0.294526365,0.396762204,0.015789259,0.000385763,0.001225977,0.0519084,9,0.695377973,0.892935357,0.419009168,0.819457974,5.869436189,1.00E+05,0,68757,31243,3.163431582,0,0,5.874077323,5.924000011,14.67032122,0.718983363,0.311941477,0.05480744,0.05480744,0.014955271,0.014955271,24.69139227,3387.802798,7.897670829,12.38930099,48.59858583,3.122865525,1.236504789,0.673879089,0,0.727130637,0.94970538
2485,4,2,0,1,1518,857,0,154,0,2,0,0,6118,3651,0,663,611,355,0,64,13,12,0,5,598,343,0,59,678,489,392,273,0,0,56,51,0.060562338,0.239252668,0.402765963,0.012211444,0.000299623,0.001285,0.065206242,9,-0.495029281,0.901891886,0.420564802,0.812093983,4.085752151,1.00E+05,0,61360,38640,5.500755034,0,0,6.756392682,5.033770631,11.87474579,0.462161698,0.387769661,0.060562338,0.060562338,0.017757965,0.017757965,23.33160506,2092.962243,7.450271872,9.138492083,28.24213439,3.199725711,1.203013163,0.660332391,0,0.706782045,0.953365978
2114,4,3,0,0,2282,1480,0,202,1,0,0,0,8003,5249,0,710,913,597,0,82,32,17,0,2,881,580,0,80,919,758,652,500,0,0,88,72,0.078257442,0.283158241,0.401375368,0.012926047,0.000334916,0.001094868,0.065548425,8,0.409047491,0.898905788,0.41954754,0.812654511,1.624238063,1.00E+05,0,67626,32374,3.227650968,0,0,4.656368741,7.342506408,18.01951199,0.411529473,0.323825448,0.078257442,0.078257442,0.022115817,0.022115817,27.37233847,2917.010606,10.04410138,7.405175817,47.43562089,3.730096762,1.636651084,0.758072568,0,0.717396627,0.950599304
3045,0,0,0,0,1071,639,0,131,0,1,0,0,4527,2591,0,511,452,268,0,55,12,4,0,1,440,264,0,54,453,372,290,207,0,0,49,47,0.046091459,0.238468449,0.410238785,0.012415124,0.000217185,0.000502262,0.06777409,5,1.376745685,0.914062987,0.417580173,0.815383352,1.624408588,1.00E+05,0,55389,44611,3.354003884,0,0,7.097499277,8.376527068,19.25171383,0.772450449,0.447412991,0.046091459,0.046091459,0.011376441,0.011376441,18.86249596,2390.727612,5.512909419,10.06705614,36.23456846,4.090974622,1.659277657,0.907337761,0,0.753176807,0.948994138
5305,1,1,0,0,1986,996,0,287,0,0,0,1,7978,3829,0,1055,854,434,0,125,29,10,0,7,825,424,0,118,811,702,432,357,0,0,109,98,0.079723137,0.248565277,0.409505015,0.015049355,0.000299758,0.000692551,0.099202598,4,0.287215745,0.903673615,0.42000181,0.813180618,3.897031151,1.00E+05,0,47284,52716,3.011639302,0,0,6.604273799,7.667555774,24.15319122,0.488524576,0.52377828,0.079723137,0.079723137,0.020933917,0.020933917,13.43828332,3299.658604,6.639857896,9.949600918,41.55508705,2.587815954,1.772593596,0.900618179,0,0.737417296,0.949720511
3819,0,0,0,0,1081,578,0,89,1,0,0,0,4055,2057,0,379,419,234,0,38,15,4,0,4,404,230,0,34,475,347,244,188,0,0,43,29,0.040258314,0.264662481,0.395110194,0.014803995,0.000303408,0.000546189,0.078411973,8,-0.201963594,0.900957026,0.418426061,0.818972471,2.705978338,1.00E+05,0,51906,48094,4.553225528,0,0,6.930358366,5.842069415,13.92297287,0.406400776,0.481719893,0.040258314,0.040258314,0.008212774,0.008212774,19.36736345,1795.350961,7.653334181,19.92410265,50.03104015,3.768016967,1.38496015,0.918295022,0,0.795998057,0.955645316
5286,0,1,0,0,842,503,0,126,0,0,0,0,4713,2777,0,708,337,234,0,64,13,11,0,1,324,223,0,63,345,283,206,200,0,0,51,55,0.046675095,0.185823027,0.39996042,0.017572833,0.000358184,0.000510156,0.135515341,4,0.500343328,0.906155928,0.419286429,0.818881991,2.566885097,1.00E+05,0,61245,38755,4.165296893,0,0,6.100575164,7.617962158,14.14747811,0.555477046,0.386261357,0.046675095,0.046675095,0.018594545,0.018594545,19.36243495,2403.746068,7.150696116,11.64384315,55.70766296,5.104677492,1.33099954,0.63993101,0,0.601617419,0.948063877
1865,0,0,0,0,1459,722,0,157,0,0,0,0,5191,2752,0,582,559,275,0,53,11,3,0,1,548,272,0,52,601,461,306,225,0,0,70,45,0.052527464,0.274353021,0.38438998,0.00909894,0.000341911,0.000543729,0.037520741,4,1.765957772,0.906822891,0.418897445,0.818665562,2.224815711,1.00E+05,0,51004,48996,2.758773221,0,0,5.669819416,5.738358664,12.07509981,0.759936006,0.491804825,0.052527464,0.052527464,0.011574508,0.011574508,21.89208133,2733.394532,6.966768232,8.329992971,32.33420399,3.844172602,1.27200242,0.76168474,0,0.779648454,0.950148752
10761,2,0,0,0,2729,1397,0,428,1,0,0,1,6569,3427,0,1065,1131,557,0,167,35,22,0,8,1096,535,0,159,1132,894,592,452,0,0,186,135,0.067008399,0.407731548,0.399444164,0.01533153,0.000364713,0.000820908,0.224221798,7,-0.447380838,0.897130134,0.420803287,0.812954858,2.202067433,1.00E+05,0,51933,48067,3.83243104,0,0,6.952387255,6.353975887,18.40117469,0.62895879,0.480741203,0.067008399,0.067008399,0.022193961,0.022193961,8.481124037,2746.94067,4.789554016,10.89112703,48.53573687,4.033047015,1.065375362,0.594511544,0,0.66878837,0.956519036
1231,1,2,0,0,3207,2027,0,322,0,1,0,0,8460,5491,0,871,1359,812,0,130,48,25,0,3,1311,787,0,127,1361,1119,835,669,0,0,143,104,0.085179109,0.384611477,0.403160012,0.013013492,0.000396783,0.000489674,0.032673741,8,-0.320181887,0.897381988,0.422320918,0.813017913,2.734305862,1.00E+05,0,63495,36505,3.874075167,0,0,5.42220233,7.178329672,13.69747882,0.331432938,0.365953556,0.085179109,0.085179109,0.0231517,0.0231517,24.5150251,2776.96104,8.546835391,6.453244485,26.09951593,4.370793077,2.139976136,0.915392363,0,0.728199783,0.948517777
1530,6,4,0,0,2870,1778,0,404,1,0,0,0,6907,4281,0,919,1165,715,0,170,42,22,0,4,1123,693,0,166,1207,951,737,575,0,0,181,127,0.069239616,0.418206232,0.401022331,0.013920598,0.000466507,0.00120275,0.040753535,6,0.462143369,0.897879303,0.421408353,0.812409685,2.293945429,1.00E+05,0,61975,38025,7.230793083,0,0,6.832371599,7.695836538,18.09473311,0.644775236,0.379914136,0.069239616,0.069239616,0.025495849,0.025495849,9.11977992,2334.006345,9.42435989,10.24149915,37.18682458,3.761521584,0.974532372,1.112564874,0,0.631773676,0.949618657
3412,1,1,0,0,1571,871,0,173,0,1,0,0,5719,3041,0,577,629,374,0,64,19,14,0,1,610,360,0,63,650,516,358,308,0,0,75,54,0.056727517,0.275713442,0.395701586,0.014894701,0.00057647,0.000382476,0.073243336,7,2.587008578,0.904113809,0.419503566,0.812579926,3.242218136,1.00E+05,0,55376,44624,3.576435034,0,0,4.260750682,5.955495173,14.93961464,0.518874363,0.444413417,0.056727517,0.056727517,0.013497033,0.013497033,26.05478903,3745.514771,8.224090786,9.504514453,42.94559845,3.6294601,1.584468516,0.81837239,0,0.762072564,0.951240397
4582,3,3,0,1,2942,1346,0,521,1,0,0,0,8097,3934,0,1501,1248,569,0,225,41,20,0,8,1207,549,0,217,1255,1009,571,467,0,0,202,184,0.080390774,0.355911681,0.416442863,0.014920671,0.000242721,0.000853708,0.09061422,7,-0.640125562,0.901330303,0.421065427,0.819388887,3.432084996,1.00E+05,0,49001,50999,3.537658417,0,0,7.504938432,10.42317192,17.31377796,0.40883305,0.508540063,0.080390774,0.080390774,0.029159571,0.029159571,15.85491189,2628.621009,4.388564369,9.67591352,39.95479239,2.915747539,1.659082794,1.391757271,0,0.637277144,0.947386719
1520,0,2,0,0,2093,1708,0,176,3,4,0,1,8319,6656,0,823,902,708,0,67,36,35,0,2,866,673,0,65,898,751,694,559,0,0,84,53,0.083655285,0.246491517,0.409475782,0.016088206,0.000559865,0.000590325,0.067253907,8,0.006552819,0.904420418,0.421626893,0.816501472,7.631976707,1.00E+05,0,78209,21791,6.081774776,0,0,5.256754482,4.469362116,13.38001414,0.509868243,0.219849023,0.083655285,0.083655285,0.035625425,0.035625425,16.7010732,3374.712688,5.679139393,9.302505329,59.1904527,2.853528354,1.437041574,0.78020729,0,0.574140175,0.948184486
5527,3,0,0,0,2287,1149,0,416,0,1,0,0,6910,3351,0,1228,881,465,0,165,21,11,0,6,860,454,0,159,946,723,501,379,0,0,183,133,0.06785723,0.338497319,0.393696545,0.012484287,0.000376812,0.000524936,0.11166857,9,0.028883707,0.899866483,0.419651749,0.818175436,5.373368824,1.00E+05,0,50266,49734,7.9507299,0,0,7.208491453,6.085909374,15.40495937,0.478160182,0.497325638,0.06785723,0.06785723,0.024170151,0.024170151,15.31449205,3050.203548,10.92692626,13.065787,37.93559546,4.192648362,1.914433563,0.713309041,0,0.643808767,0.943845724
8523,1,0,0,0,2311,1418,0,256,3,0,0,1,7019,4373,0,755,954,570,0,106,36,16,0,5,918,554,0,101,980,783,600,476,0,0,94,96,0.069366739,0.32392129,0.401849646,0.015956308,0.000513182,0.000693827,0.234632606,4,0.083649147,0.893262443,0.42217895,0.820698097,2.211919901,1.00E+05,0,63611,36389,3.630163738,0,0,4.392875089,4.814669352,18.16167317,0.590157024,0.36417701,0.069366739,0.069366739,0.021102894,0.021102894,31.76363934,3566.487534,8.851174893,8.978679452,59.15832636,4.130513882,1.758271437,0.48618817,0,0.695777911,0.955438132
2698,0,2,0,0,2171,1040,0,391,0,0,0,0,8565,3907,0,1442,865,411,0,154,25,18,0,9,840,393,0,145,886,700,426,335,0,0,166,133,0.086640335,0.259241208,0.398199671,0.014174358,0.00034535,0.000715371,0.047892124,5,0.407813085,0.896293245,0.418864622,0.808107078,3.890991789,1.00E+05,0,44831,55169,5.279206247,0,0,5.765516365,4.678409494,17.51149021,0.399761983,0.551174395,0.086640335,0.086640335,0.0251247,0.0251247,22.21908537,1930.64577,7.174254935,17.25676738,28.05586167,3.712179357,1.987592735,0.581060225,0,0.710011505,0.947416655
4084,2,1,0,0,1838,1097,0,152,1,0,0,0,9362,5786,0,920,716,480,0,67,30,25,0,3,686,455,0,64,765,582,449,386,0,0,72,56,0.093670416,0.197666535,0.392713049,0.013874883,0.000343488,0.000974716,0.109739889,4,-1.170752061,0.900338575,0.419835718,0.806779747,3.463001883,1.00E+05,0,62881,37119,5.83989307,0,0,7.116955649,6.655005143,11.99677325,0.475354331,0.372518708,0.093670416,0.093670416,0.025776307,0.025776307,26.11105527,2129.579113,6.211723779,5.630211905,24.24532466,3.406804426,1.967611148,1.176477834,0,0.724819124,0.944793478
8112,3,1,0,0,2706,1116,0,436,1,0,0,0,6932,2932,0,1124,1214,495,0,172,55,17,0,8,1159,478,0,164,1165,964,445,397,0,0,203,138,0.069047095,0.387647869,0.411134557,0.016663832,0.000350854,0.000723078,0.141015561,9,-0.196728279,0.893123815,0.419919406,0.81500746,3.794323418,1.00E+05,0,41858,58142,2.71520302,0,0,4.144323117,4.540436764,15.91669366,0.362603209,0.581856213,0.069047095,0.069047095,0.01894723,0.01894723,19.61523044,1984.638055,7.107544382,8.7893658,49.27241618,3.848385769,1.343615668,1.116395477,0,0.725589758,0.945011879
4593,1,2,0,0,2700,1582,0,297,2,1,0,0,6303,3693,0,680,1101,665,0,122,31,12,0,3,1070,653,0,119,1117,884,680,558,0,0,112,101,0.063646523,0.420649406,0.403586684,0.009890226,0.000403533,0.000598683,0.112197689,6,-0.489599605,0.90089104,0.419079559,0.814395763,2.458778237,1.00E+05,0,59378,40622,3.741549075,0,0,9.227761647,5.511542372,15.73779454,0.53173436,0.404050286,0.063646523,0.063646523,0.016246223,0.016246223,20.86028361,3468.059914,9.497407795,8.049906377,63.20929512,3.443009161,1.27314583,0.630880606,0,0.744742954,0.947897003
4659,4,4,0,1,2985,1551,0,353,2,1,0,0,10024,5430,0,1321,1244,673,0,152,32,26,0,2,1212,647,0,150,1241,1004,625,533,0,0,154,122,0.098797134,0.29280435,0.406194647,0.012860855,0.000326703,0.001077917,0.101327977,15,0.735778167,0.900817289,0.419128433,0.810275503,3.262200101,1.00E+05,0,54561,45439,4.506907079,0,0,4.047358862,8.024209389,14.71837632,0.735579025,0.454635359,0.098797134,0.098797134,0.028912868,0.028912868,11.90538339,2491.794264,11.48524443,12.94171913,43.83463263,2.396623789,1.738533082,1.222838123,0,0.707351142,0.943119506
5721,1,1,0,0,1185,667,0,168,1,0,0,0,6347,3687,0,866,473,292,0,81,16,10,0,5,457,282,0,76,530,393,271,243,0,0,66,66,0.062379829,0.185111819,0.408826412,0.015633344,0.000438522,0.0010026,0.131199837,7,0.112341144,0.899285555,0.420259043,0.81068408,1.832323299,1.00E+05,0,57613,42387,5.136898754,0,0,11.35669715,6.719686972,14.25836599,0.744242096,0.423858321,0.062379829,0.062379829,0.019859286,0.019859286,23.92233779,3106.508503,9.954068641,9.230818466,48.21157915,3.617842001,1.15517928,0.749952049,0,0.681639291,0.950815511
1229,0,0,0,0,1136,566,0,153,1,0,0,0,7654,3909,0,949,494,245,0,56,15,6,0,0,479,239,0,56,472,387,230,205,0,0,69,48,0.07712074,0.143440268,0.414476915,0.013631509,0.000354747,0.000542191,0.024700366,11,-1.321452462,0.891992625,0.41906121,0.812313142,3.075295056,1.00E+05,0,51050,48950,5.068874561,0,0,5.164341882,5.955217185,17.01601475,0.472875186,0.489346898,0.07712074,0.07712074,0.019243223,0.019243223,19.71253698,4027.162341,9.424991219,5.961154104,46.28786759,4.437119851,1.58997677,0.948618441,0,0.750479267,0.950449956
1829,1,1,0,0,1327,928,0,137,0,1,0,0,5720,4105,0,557,551,356,0,55,24,14,0,1,527,342,0,54,583,442,395,281,0,0,51,45,0.056468812,0.23325342,0.408980648,0.014222058,0.000309242,0.00051719,0.071188496,6,-1.184724478,0.908145478,0.419952135,0.811127288,3.1245247,1.00E+05,0,73237,26763,8.026664706,0,0,4.226075273,6.738440237,17.9700478,0.774002699,0.268056552,0.056468812,0.056468812,0.018400038,0.018400038,25.03036391,1588.227536,4.794818853,15.99333468,63.27863227,4.735196014,1.857055869,0.746543015,0,0.674155745,0.95127121
10450,2,0,0,0,2944,1167,0,688,1,0,0,1,8426,3267,0,1851,1263,489,0,285,26,16,0,12,1237,473,0,273,1190,1044,493,409,0,0,308,236,0.083257592,0.355964131,0.411678384,0.010192581,0.000340727,0.000682515,0.168571725,10,0.150268539,0.903146267,0.418897137,0.815126478,2.776382939,1.00E+05,0,39114,60886,4.583806108,0,0,8.006928918,7.015310811,18.19860106,0.585722202,0.607024471,0.083257592,0.083257592,0.029991266,0.029991266,32.13937395,2442.098348,7.289546381,6.594254775,37.12662474,3.745017102,1.443328143,0.89240211,0,0.639777408,0.960666159
